This is testing for fprintf...
Data @ Index 0: 656
Data @ Index 1: 1297
Data @ Index 2: 1fce
Data @ Index 3: 291f
Data @ Index 4: 2668
Data @ Index 5: 1cfb
Data @ Index 6: 120c
Data @ Index 7: 790
Data @ Index 8: fdc6
Data @ Index 9: f4e5
Data @ Index 10: f028
Data @ Index 11: efe1
Data @ Index 12: ee6d
Data @ Index 13: ed12
Data @ Index 14: ec4f
Data @ Index 15: eacc
Data @ Index 16: e976
Data @ Index 17: e87a
Data @ Index 18: e72b
Data @ Index 19: e5b9
Data @ Index 20: e57d
Data @ Index 21: e7b0
Data @ Index 22: f151
Data @ Index 23: fd3e
Data @ Index 24: 9c8
Data @ Index 25: 173e
Data @ Index 26: 262b
Data @ Index 27: 329b
Data @ Index 28: 3480
Data @ Index 29: 2ced
Data @ Index 30: 22ba
Data @ Index 31: 1883
Data @ Index 32: ce3
Data @ Index 33: 104
Data @ Index 34: f696
Data @ Index 35: ee86
Data @ Index 36: ebf0
Data @ Index 37: eaaf
Data @ Index 38: e85c
Data @ Index 39: e74f
Data @ Index 40: e665
Data @ Index 41: e4f1
Data @ Index 42: e3e3
Data @ Index 43: e2fb
Data @ Index 44: e3be
Data @ Index 45: ea03
Data @ Index 46: f50e
Data @ Index 47: 1f9
Data @ Index 48: eed
Data @ Index 49: 1b61
Data @ Index 50: 265e
Data @ Index 51: 2bf7
Data @ Index 52: 2cd2
Data @ Index 53: 2ada
Data @ Index 54: 27cb
Data @ Index 55: 22cd
Data @ Index 56: 18f7
Data @ Index 57: de2
Data @ Index 58: 2de
Data @ Index 59: f6c7
Data @ Index 60: ed6b
Data @ Index 61: e955
Data @ Index 62: e875
Data @ Index 63: e712
Data @ Index 64: e53f
Data @ Index 65: e453
Data @ Index 66: e266
Data @ Index 67: e0fd
Data @ Index 68: e004
Data @ Index 69: e3ed
Data @ Index 70: ee0e
Data @ Index 71: fa52
Data @ Index 72: 69a
Data @ Index 73: 1202
Data @ Index 74: 1b12
Data @ Index 75: 1db4
Data @ Index 76: 1c47
Data @ Index 77: 1bf5
Data @ Index 78: 1c2f
Data @ Index 79: 1aee
Data @ Index 80: 1a43
Data @ Index 81: 16b8
Data @ Index 82: cc2
Data @ Index 83: 9f
Data @ Index 84: f4b7
Data @ Index 85: ed4d
Data @ Index 86: eaa7
Data @ Index 87: e9e3
Data @ Index 88: e943
Data @ Index 89: e78a
Data @ Index 90: e6d3
Data @ Index 91: e547
Data @ Index 92: e351
Data @ Index 93: e3eb
Data @ Index 94: e946
Data @ Index 95: f44f
Data @ Index 96: b1
Data @ Index 97: c04
Data @ Index 98: 1385
Data @ Index 99: 14b7
Data @ Index 100: 14ae
Data @ Index 101: 138d
Data @ Index 102: 12e7
Data @ Index 103: 1392
Data @ Index 104: 12c0
Data @ Index 105: 12c6
Data @ Index 106: 133a
Data @ Index 107: f30
Data @ Index 108: 41a
Data @ Index 109: f8b2
Data @ Index 110: f2ae
Data @ Index 111: f0c2
Data @ Index 112: ef82
Data @ Index 113: eead
Data @ Index 114: ed29
Data @ Index 115: ec74
Data @ Index 116: ec2c
Data @ Index 117: e9bc
Data @ Index 118: eac0
Data @ Index 119: f032
Data @ Index 120: fa85
Data @ Index 121: 67d
Data @ Index 122: dc7
Data @ Index 123: 1045
Data @ Index 124: fd9
Data @ Index 125: f72
Data @ Index 126: 101c
Data @ Index 127: e98
Data @ Index 128: f21
Data @ Index 129: f81
Data @ Index 130: ec1
Data @ Index 131: f17
Data @ Index 132: e71
Data @ Index 133: ae6
Data @ Index 134: 16f
Data @ Index 135: fa4f
Data @ Index 136: f817
Data @ Index 137: f6bb
Data @ Index 138: f639
Data @ Index 139: f489
Data @ Index 140: f2e7
Data @ Index 141: f30a
Data @ Index 142: f185
Data @ Index 143: f06e
Data @ Index 144: f579
Data @ Index 145: fece
Data @ Index 146: 831
Data @ Index 147: cdc
Data @ Index 148: dcc
Data @ Index 149: d2a
Data @ Index 150: cb8
Data @ Index 151: d54
Data @ Index 152: ccb
Data @ Index 153: c49
Data @ Index 154: d3a
Data @ Index 155: c93
Data @ Index 156: ca7
Data @ Index 157: ca7
Data @ Index 158: bfc
Data @ Index 159: 8d0
Data @ Index 160: 150
Data @ Index 161: fdfb
Data @ Index 162: fc8a
Data @ Index 163: fba2
Data @ Index 164: fb2b
Data @ Index 165: f929
Data @ Index 166: f90b
Data @ Index 167: f830
Data @ Index 168: f611
Data @ Index 169: f7b9
Data @ Index 170: ff18
Data @ Index 171: 72c
Data @ Index 172: abe
Data @ Index 173: b0e
Data @ Index 174: b4e
Data @ Index 175: a81
Data @ Index 176: b4c
Data @ Index 177: b78
Data @ Index 178: a75
Data @ Index 179: b2a
Data @ Index 180: b03
Data @ Index 181: a79
Data @ Index 182: ad8
Data @ Index 183: 9fe
Data @ Index 184: a19
Data @ Index 185: 82f
Data @ Index 186: 3e9
Data @ Index 187: 1b7
Data @ Index 188: ffe7
Data @ Index 189: 16
Data @ Index 190: fe45
Data @ Index 191: fc5b
Data @ Index 192: fc5f
Data @ Index 193: fa48
Data @ Index 194: f9aa
Data @ Index 195: fcca
Data @ Index 196: 3d1
Data @ Index 197: 8fd
Data @ Index 198: 969
Data @ Index 199: 982
Data @ Index 200: 946
Data @ Index 201: 919
Data @ Index 202: a33
Data @ Index 203: 91e
Data @ Index 204: 93e
Data @ Index 205: a55
Data @ Index 206: 987
Data @ Index 207: 994
